Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Eurozone,Price / Eurozone,Compare At Price / Eurozone,Included / International,Price / International,Compare At Price / International,Included / Japan,Price / Japan,Compare At Price / Japan,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status,New SKU,FinalSKU
sad-songs-tee,,,,,,,,Black,,Maple,,M,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-MPL-M,TEE-SADSONGS-BLK-MPL-M-BL
sad-songs-tee,,,,,,,,Black,,Maple,,L,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-MPL-L,TEE-SADSONGS-BLK-MPL-L-BL
sad-songs-tee,,,,,,,,Black,,Maple,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-MPL-XL,TEE-SADSONGS-BLK-MPL-XL-BL
sad-songs-tee,,,,,,,,Black,,Maple,,2XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-MPL-2XL,TEE-SADSONGS-BLK-MPL-2XL-BL
sad-songs-tee,,,,,,,,Black,,Crop Top,,XS,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-CRP-XS,TEE-SADSONGS-BLK-CRP-XS-BL
sad-songs-tee,,,,,,,,Black,,Crop Top,,S,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-CRP-S,TEE-SADSONGS-BLK-CRP-S-BL
sad-songs-tee,,,,,,,,Black,,Crop Top,,M,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-CRP-M,TEE-SADSONGS-BLK-CRP-M-BL
sad-songs-tee,,,,,,,,Black,,Crop Top,,L,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-CRP-L,TEE-SADSONGS-BLK-CRP-L-BL
sad-songs-tee,,,,,,,,Black,,Crop Top,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-CRP-XL,TEE-SADSONGS-BLK-CRP-XL-BL
sad-songs-tee,,,,,,,,Army Green,,Long Sleeve,,S,TEE-SADSONGS-,150,shopify,10,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-LST-S,TEE-SADSONGS-AMY-LST-S-LT
sad-songs-tee,,,,,,,,Army Green,,Long Sleeve,,M,TEE-SADSONGS-,150,shopify,10,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-LST-M,TEE-SADSONGS-AMY-LST-M-LT
sad-songs-tee,,,,,,,,Army Green,,Long Sleeve,,L,TEE-SADSONGS-,150,shopify,10,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-LST-L,TEE-SADSONGS-AMY-LST-L-LT
sad-songs-tee,,,,,,,,Army Green,,Long Sleeve,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-LST-XL,TEE-SADSONGS-AMY-LST-XL-LT
sad-songs-tee,,,,,,,,Army Green,,Long Sleeve,,2XL,TEE-SADSONGS-,150,shopify,10,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-LST-2XL,TEE-SADSONGS-AMY-LST-2XL-LT
sad-songs-tee,,,,,,,,Army Green,,Long Sleeve,,3XL,TEE-SADSONGS-,150,shopify,10,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-LST-3XL,TEE-SADSONGS-AMY-LST-3XL-LT
